# Execution time and date (UTC): Fri Aug  9 12:48:37 2024
# Execution time and date (local): Fri Aug  9 15:48:37 2024
# MPI execution on rank 0 with 2 processes in world
# Reported time measurements are in microseconds
# pretty output format
     msg_size  window_size         runs   recv_index    num_peers receiver_type       id         time     overhead 
            8             1           500             0             1          devx          0 13.277100            0 
            8             1           500             0             1          devx          1 8.381470            0 
            8             1           500             0             1          devx          2 8.453369            0 
            8             1           500             0             1          devx          3 8.415405            0 
            8             1           500             0             1          devx          4 8.402466            0 
            8             1           500             0             1          devx          5 8.133545            0 
            8             1           500             0             1          devx          6 8.178223            0 
            8             1           500             0             1          devx          7 8.271362            0 
            8             1           500             0             1          devx          8 8.311401            0 
            8             1           500             0             1          devx          9 8.267456            0 
            8             1           500             0             1          devx         10 8.311523            0 
            8             1           500             0             1          devx         11 8.307373            0 
            8             1           500             0             1          devx         12 8.513550            0 
            8             1           500             0             1          devx         13 8.265503            0 
            8             1           500             0             1          devx         14 8.216309            0 
            8             1           500             0             1          devx         15 8.292480            0 
            8             1           500             0             1          devx         16 8.153442            0 
            8             1           500             0             1          devx         17 8.194458            0 
            8             1           500             0             1          devx         18 8.184326            0 
            8             1           500             0             1          devx         19 8.197388            0 
            8             1           500             0             1          devx         20 8.233276            0 
            8             1           500             0             1          devx         21 8.208496            0 
            8             1           500             0             1          devx         22 8.221313            0 
            8             1           500             0             1          devx         23 8.182373            0 
            8             1           500             0             1          devx         24 8.489380            0 
            8             1           500             0             1          devx         25 8.319458            0 
            8             1           500             0             1          devx         26 8.321411            0 
            8             1           500             0             1          devx         27 8.305542            0 
            8             1           500             0             1          devx         28 8.362427            0 
            8             1           500             0             1          devx         29 8.273315            0 
            8             1           500             0             1          devx         30 8.231445            0 
            8             1           500             0             1          devx         31 8.291260            0 
            8             1           500             0             1          devx         32 8.200562            0 
            8             1           500             0             1          devx         33 8.234497            0 
            8             1           500             0             1          devx         34 8.176270            0 
            8             1           500             0             1          devx         35 8.216431            0 
            8             1           500             0             1          devx         36 8.139404            0 
            8             1           500             0             1          devx         37 8.257446            0 
            8             1           500             0             1          devx         38 8.142334            0 
            8             1           500             0             1          devx         39 8.215332            0 
            8             1           500             0             1          devx         40 8.432373            0 
            8             1           500             0             1          devx         41 8.301392            0 
            8             1           500             0             1          devx         42 8.329468            0 
            8             1           500             0             1          devx         43 8.333496            0 
            8             1           500             0             1          devx         44 8.262329            0 
            8             1           500             0             1          devx         45 8.328491            0 
            8             1           500             0             1          devx         46 8.279419            0 
            8             1           500             0             1          devx         47 8.333496            0 
            8             1           500             0             1          devx         48 8.130371            0 
            8             1           500             0             1          devx         49 8.209595            0 
            8             1           500             0             1          devx         50 8.221436            0 
            8             1           500             0             1          devx         51 8.223511            0 
            8             1           500             0             1          devx         52 8.148438            0 
            8             1           500             0             1          devx         53 8.149414            0 
            8             1           500             0             1          devx         54 8.169434            0 
            8             1           500             0             1          devx         55 8.222412            0 
            8             1           500             0             1          devx         56 8.482422            0 
            8             1           500             0             1          devx         57 8.318481            0 
            8             1           500             0             1          devx         58 11.190186            0 
            8             1           500             0             1          devx         59 8.364502            0 
            8             1           500             0             1          devx         60 8.304565            0 
            8             1           500             0             1          devx         61 8.315308            0 
            8             1           500             0             1          devx         62 8.280518            0 
            8             1           500             0             1          devx         63 8.358398            0 
            8             1           500             0             1          devx         64 8.246460           10 
            8             1           500             0             1          devx         65 8.269409            0 
            8             1           500             0             1          devx         66 8.306274            0 
            8             1           500             0             1          devx         67 8.305420            0 
            8             1           500             0             1          devx         68 8.266479            0 
            8             1           500             0             1          devx         69 8.262451            0 
            8             1           500             0             1          devx         70 8.252441            0 
            8             1           500             0             1          devx         71 8.302368            0 
            8             1           500             0             1          devx         72 8.230469            0 
            8             1           500             0             1          devx         73 8.291382            0 
            8             1           500             0             1          devx         74 8.246460            0 
            8             1           500             0             1          devx         75 8.268311            0 
            8             1           500             0             1          devx         76 8.235352            0 
            8             1           500             0             1          devx         77 8.227295            0 
            8             1           500             0             1          devx         78 8.251343            0 
            8             1           500             0             1          devx         79 8.248413            0 
            8             1           500             0             1          devx         80 8.223389            0 
            8             1           500             0             1          devx         81 8.264404            0 
            8             1           500             0             1          devx         82 8.274414            0 
            8             1           500             0             1          devx         83 8.262573            0 
            8             1           500             0             1          devx         84 8.260498            0 
            8             1           500             0             1          devx         85 8.263306            0 
            8             1           500             0             1          devx         86 8.326416            0 
            8             1           500             0             1          devx         87 8.349365            0 
            8             1           500             0             1          devx         88 8.235352            0 
            8             1           500             0             1          devx         89 8.233398            0 
            8             1           500             0             1          devx         90 8.346313            0 
            8             1           500             0             1          devx         91 8.264526            0 
            8             1           500             0             1          devx         92 8.181274            0 
            8             1           500             0             1          devx         93 8.243530            0 
            8             1           500             0             1          devx         94 8.249390            0 
            8             1           500             0             1          devx         95 8.313477            0 
            8             1           500             0             1          devx         96 8.291382            0 
            8             1           500             0             1          devx         97 8.264404            0 
            8             1           500             0             1          devx         98 8.280396            0 
