# Execution time and date (UTC): Fri Aug  9 13:51:30 2024
# Execution time and date (local): Fri Aug  9 16:51:30 2024
# MPI execution on rank 0 with 2 processes in world
# Reported time measurements are in microseconds
# pretty output format
     msg_size  window_size         runs   recv_index    num_peers receiver_type       id         time     overhead 
            8           128           500             0             1      mpi(ucx)          0 25.738159            0 
            8           128           500             0             1      mpi(ucx)          1 22.980469            0 
            8           128           500             0             1      mpi(ucx)          2 21.143433            0 
            8           128           500             0             1      mpi(ucx)          3 21.061523            0 
            8           128           500             0             1      mpi(ucx)          4 21.257690            0 
            8           128           500             0             1      mpi(ucx)          5 21.030518            0 
            8           128           500             0             1      mpi(ucx)          6 21.086548            0 
            8           128           500             0             1      mpi(ucx)          7 21.172485            0 
            8           128           500             0             1      mpi(ucx)          8 21.057495            0 
            8           128           500             0             1      mpi(ucx)          9 21.011475            0 
            8           128           500             0             1      mpi(ucx)         10 21.089478            0 
            8           128           500             0             1      mpi(ucx)         11 21.016479            0 
            8           128           500             0             1      mpi(ucx)         12 21.026489            0 
            8           128           500             0             1      mpi(ucx)         13 21.085571            0 
            8           128           500             0             1      mpi(ucx)         14 20.993530            0 
            8           128           500             0             1      mpi(ucx)         15 20.969482            0 
            8           128           500             0             1      mpi(ucx)         16 20.988647            0 
            8           128           500             0             1      mpi(ucx)         17 20.966553            0 
            8           128           500             0             1      mpi(ucx)         18 21.113525            0 
            8           128           500             0             1      mpi(ucx)         19 20.978638            0 
            8           128           500             0             1      mpi(ucx)         20 21.106567            0 
            8           128           500             0             1      mpi(ucx)         21 21.049561            0 
            8           128           500             0             1      mpi(ucx)         22 21.071533            0 
            8           128           500             0             1      mpi(ucx)         23 21.111450            0 
            8           128           500             0             1      mpi(ucx)         24 20.983521            0 
            8           128           500             0             1      mpi(ucx)         25 21.035522            0 
            8           128           500             0             1      mpi(ucx)         26 20.948608            0 
            8           128           500             0             1      mpi(ucx)         27 21.052612            0 
            8           128           500             0             1      mpi(ucx)         28 21.040649            0 
